Мне кажется это правда., *It seems to me that this is true.*  
Тебе нужно больше отдыхать., *You need to rest more.*  
Ей приятно слышать это., *It’s pleasant for her to hear this.*  
Нам нужно обсудить планы., *We need to discuss the plans.*  
Вам не стоит переживать., *You shouldn’t worry.*  
Им легко учиться., *It’s easy for them to study.*  
Книге не хватает страниц., *The book is missing pages.*  
Я рассказал историю брату,. *I told a story to my brother.*  
Ему не хватает времени., *He doesn’t have enough time.*  
Мы купили игрушку ребёнку., *We bought a toy for the child.*  
Учитель объяснил правило студентам., *The teacher explained the rule to the students.*  
Сестре нравится музыка., *My sister likes music.*  
Холодной зиме не радуются., *They don’t rejoice in the cold winter.*  
Туристам показали музей., *The tourists were shown the museum.*  
"",""
