여기가 어디예요?,Where is this place?  
화장실이 어디예요?,Where is the bathroom?  
지하철역은 어디예요?,Where is the subway station?  
이 근처에 편의점이 있어요?,  Is there a convenience store nearby?  
이 주소로 가려면 어떻게 가야 해요?**  ,  How do I get to this address?  
서울역까지 어떻게 가요? ,  How do I get to Seoul Station?  
길을 잃어버렸어요. ,  I’m lost.  
왼쪽으로 가야 해요? ,  Should I go left?  
오른쪽으로 가야 해요? ,   Should I go right?  
여기서 가까워요?,  Is it close from here?  
멀어요?  ,*(Meoreoyo?)*,   Is it far?  
택시를 타야 하나요?,  Should I take a taxi?  
걸어서 갈 수 있어요?,  Can I walk there?  
이 길로 쭉 가면 돼요? ,  Should I keep going straight on this road?  
첫 번째 신호등에서 왼쪽으로 가세요.,  Turn left at the first traffic light.  
몇 분 걸려요?,How long does it take?  
버스 정류장은 어디에 있어요?,  Where is the bus stop?  
공항으로 가는 길을 알려주세요.,  Please tell me the way to the airport.  
지도를 보여주실 수 있어요?, Can you show me the map?  
이 근처에 유명한 곳이 있어요? ,  Is there a famous place nearby?  
