1. 저는 학생이에요.(*Jeoneun haksaeng-ieyo.*), I am a student.  
2. 여기는 제 친구 집이에요.(*Yeogineun je chingu jib-ieyo.*), This is my friend’s house.  
3. 저 사람은 한국 사람이에요.(*Jeo sarameun Hanguk saram-ieyo.*), That person is Korean.  
4. 오늘은 월요일이에요.(*Oneureun Woryoil-ieyo.*), Today is Monday.  
5. 이 가방은 제 것이에요.(*I gabangeun je geos-ieyo.*), This bag is mine.  
1. 저는 집에 있어요.(*Jeoneun jibe isseoyo.*),I am at home.  
2. 가방 안에 책이 있어요.(*Gabang ane chaeki isseoyo.*), There is a book in the bag.  
3. 제 친구는 지금 도서관에 있어요.(*Je chinguneun jigeum doseogwan-e isseoyo.*), My friend is at the library now.  
4. 방 안에 사람이 있어요.(*Bang ane sarami isseoyo.*),There is a person in the room.  
5. 냉장고에 우유가 있어요.(9*Naengjanggo-e uyuga isseoyo.*), There is milk in the refrigerator.  
1. 저는 아침 7시에 일어나요.(*Jeoneun achim ilgop sie ireonayo.*), I wake up at 7 a.m.  
2. 우리는 오후 2시에 도서관에서 만나요.(*Urineun ohu dusi-e doseogwan-eseo mannayo.*), We meet at the library at 2 p.m.  
3. 저는 주말에 공원에 가요.(*Jeoneun jumal-e gongwon-e gayo.*),I go to the park on the weekend.  
4. 수업은 10시에 시작해요.(*Sueobeun yeol sie sijakhaeyo.*), The class starts at 10 a.m.  
5. 저는 밤에 집에서 쉬어요.(*Jeoneun bam-e jib-eseo swieoyo.*), I rest at home at night.  
2. 시간이 없어요.(*Sigani eopseoyo.*), I don’t have time.  
3. 여기에 사람이 없어요.(*Yeogie saram-i eopseoyo.*),There’s no one here.  
4. 오늘 숙제가 없어요.(*Oneul sukjega eopseoyo.*),There’s no homework today.  
5. 냉장고에 우유가 없어요.(*Naengjanggo-e uyuga eopseoyo.*),There’s no milk in the fridge.  
1. 저는 돈이 없어요.(*Jeoneun don-i eopseoyo.*), I don’t have money.  
