1. **Che ore sono?**,– What time is it?,  
2. **Posso avere il conto per favore?**, – Can I have the check please?,  
3. **Mi piace molto.**, – I like it a lot.,  
4. **Non capisco.**, – I don’t understand.,  
5. **Parli inglese?**, – Do you speak English?,  
6. **Ho bisogno di aiuto.**, – I need help.,  
7. **Dove si trova...?**, – Where is...?,  
8. **È possibile...?**, – Is it possible...?,  
9. **Buon appetito!** ,– Enjoy your meal!,  
10. **Ci vediamo presto.**, – See you soon.,  
11. **Può ripetere per favore?**, – Can you repeat please?,  
12. **Come ti chiami?**, – What’s your name? (informal),  
13. **Quanto tempo ci vuole?** ,– How long does it take?,  
14. **È vicino o lontano?**, – Is it near or far?,  
15. **Non preoccuparti.**, – Don’t worry.  
