1. **お名前は何ですか？** , **おなまえはなんですか？** , *What is your name?*  
2. **お元気ですか？** , **おげんきですか？** , *How are you?*  
3. **よろしくお願いします。** , **よろしくおねがいします。**,  *Nice to meet you./Please take care of this.*  
4. **すみません、失礼します。** , **すみません、しつれいします。** , *Excuse me may I?*  
5. **ありがとうございます。** , **ありがとうございます。** , *Thank you.*  
6. **申し訳ありません。**,  **もうしわけありません。**,  *I’m very sorry.*  
7. **どうぞお入りください。**,  **どうぞおはいりください。** , *Please come in.*  
8. **少々お待ちください。** , **しょうしょうおまちください。**, *Please wait a moment.*  
9. **何時に出発しますか？** , **なんじにしゅっぱつしますか？** , *What time will we leave?*  
11. **お会計をお願いします。** , **おかいけいをおねがいします。**,   *Check please.*  
12. **写真を撮ってもいいですか？**  ,**しゃしんをとってもいいですか？** , *May I take a picture?*  
13. **もう一度お願いします。** ,  **もういちどおねがいします。**   ,*Please say that again.*  
14. **わかりました。**  , **わかりました。**, *I understand.*  
15. **今日はお世話になりました。**, **きょうはおせわになりました。**, *Thank you for your hospitality today.*  
10. **お手洗いはどこですか？**,**おてあらいはどこですか？** , *Where is the restroom?*  
