1 **Welche Sehenswürdigkeiten gibt es hier?**,– What are the attractions here?  
2 **Wo ist das berühmte Schloss Neuschwanstein?**, – Where is the famous Neuschwanstein Castle?  
3 **Wie komme ich zur Berliner Mauer?**, – How do I get to the Berlin Wall?  
4 **Ist der Kölner Dom weit von hier?**, – Is Cologne Cathedral far from here?  
5 **Gibt es eine Führung durch das Brandenburger Tor?**, – Is there a tour of the Brandenburg Gate?  
6 **Das ist ein UNESCO-Weltkulturerbe.**,– This is a UNESCO World Heritage Site.  
7 **Das Oktoberfest in München ist weltberühmt.**, – The Oktoberfest in Munich is world-famous.  
8 **Was ist der beste Ort um Fotos zu machen?**, – What’s the best place to take photos?  
9 **Die Zugspitze ist der höchste Berg in Deutschland.**,– The Zugspitze is the highest mountain in Germany.  
10 **Die Altstadt von Heidelberg ist wunderschön.**,– The old town of Heidelberg is beautiful.  
11 **Gibt es hier ein Museum das ich besuchen sollte?**,– Is there a museum I should visit here?  
12 **Welcher Aussichtspunkt bietet die beste Aussicht?**, – Which viewpoint offers the best view?  
13 **Kann man Tickets online kaufen?**, – Can you buy tickets online?  
14 **Wann sind die Öffnungszeiten der Sehenswürdigkeiten?**, – What are the opening hours of the attractions?
15 **Die Schwarzwaldregion ist bekannt für ihre Natur und Kuckucksuhren.**,– The Black Forest region is known for its nature and cuckoo clocks.  
