1. **Wie heißt du?**, – What’s your name?  
2. **Woher kommst du?**, – Where are you from?  
3. **Was machst du beruflich?**, – What do you do for a living?  
4. **Was bedeutet das?**, – What does that mean?  
5. **Wie spät ist es?**, – What time is it?  
6. **Wo ist... ?**, – Where is...?  
7. **Wie komme ich nach...?**, – How do I get to...?  
8. **Gibt es hier in der Nähe ein Restaurant?**,– Is there a restaurant nearby?  
9. **Welcher Bus fährt nach...?**, – Which bus goes to...?  
10. **Ist das weit von hier?** ,– Is that far from here? 
11. **Wie viel kostet das?**, – How much does that cost?  
12. **Kann ich mit Karte bezahlen?**, – Can I pay with a card?  
13. **Haben Sie das in einer anderen Farbe?**, – Do you have this in another color?  
14. **Wo ist der nächste Geldautomat?** ,– Where is the nearest ATM?  
15. **Können Sie mir das erklären?**, – Can you explain that to me?  
