1. 저는 학교에 다녀요., I go to school.  
2. 오늘 날씨가 좋아요., The weather is nice today.  
3. 친구와 영화를 봐요., I watch a movie with a friend.  
5. 저는 매일 운동을 해요., I exercise every day.  
6. 가족과 저녁을 먹어요., I eat dinner with my family.  
7. 저는 음악을 들어요., I listen to music.  
9. 아침에 커피를 마셔요., I drink coffee in the morning.  
10. 친구에게 문자를 보내요., I send a message to my friend.  
11. 저는 매일 일해요., I work every day.  
12. 동생이랑 놀아요., I play with my younger sibling.  
13. 저는 집에서 쉬어요., I rest at home.  
15. 강아지와 산책해요., I take a walk with my dog.  
1. 저는 매일 아침 일찍 일어나요., I wake up early every morning.  
2. 친구들과 공원에서 운동해요., I exercise with my friends at the park.  
3. 저는 매일 버스를 타요., I take the bus every day.  
4. 부모님과 전화를 자주 해요., I often talk to my parents on the phone.  
5. 저는 매일 신문을 읽어요., I read the newspaper every day.  
6. 우리는 점심을 함께 먹어요., We eat lunch together.  
7. 선생님께 질문을 해요., I ask the teacher a question.  
8. 저는 한국 드라마를 자주 봐요., I often watch Korean dramas.  
9. 저는 저녁에 요리를 해요., I cook dinner in the evening.  
10. 친구와 이야기를 나눠요., I have a conversation with a friend.  
11. 저는 매주 도서관에 가요., I go to the library every week.  
12. 학생들이 교실에서 공부해요., The students study in the classroom.  
13. 저는 매일 물을 많이 마셔요., I drink a lot of water every day.  
14. 주말에 쇼핑을 해요., I go shopping on the weekend.  
15. 저는 매일 강아지에게 밥을 줘요., I feed my dog every day.  







1. 저는 매일 아침 일찍 일어나요., 
2. 친구들과 공원에서 운동해요., 
3. 저는 매일 버스를 타요.,
4. 부모님과 전화를 자주 해요., 
5. 저는 매일 신문을 읽어요.,   
6. 우리는 점심을 함께 먹어요.,
7. 선생님께 질문을 해요., 
8. 저는 한국 드라마를 자주 봐요., 
9. 저는 저녁에 요리를 해요.,
10. 친구와 이야기를 나눠요., 
11. 저는 매주 도서관에 가요., 
12. 학생들이 교실에서 공부해요.,
13. 저는 매일 물을 많이 마셔요.,
14. 주말에 쇼핑을 해요., 
15. 저는 매일 강아지에게 밥을 줘요.,
