У меня нет времени., There is no time.  
Это книга моего друга., This is my friend’s book.  
Я хочу стакан воды., I want a glass of water.  
У нас нет сахара., We have no sugar.  
Он из Москвы., He is from Moscow.  
Мне нужно немного молока.,I need some milk.  
Дом находится рядом с парка., The house is located near the park.  
Он боится темноты., He is afraid of the dark.  
Это подарок для моей сестры., This is a gift for my sister.  
У двери стоял мужчина., A man stood by the door.  
Мы ждали начала концерта., We were waiting for the start of the concert.  
У них нет машины., They don’t have a car.  
Она далеко от дома., She is far from home.  
Ключи лежат на краю стола.,The keys are lying on the edge of the table.  
У моего брата новая работа., My brother has a new job.  
