Книга лежит на полке., The book is on the shelf.  
Мы учимся в университете., We study at the university.  
Он живёт в деревне., He lives in the village.  
Я думаю о будущем., I am thinking about the future.  
Она пишет о своём детстве.,She is writing about her childhood.  
Мы гуляли в парке., We walked in the park.  
Моя мама работает в больнице., My mom works in the hospital.  
Мы говорим о политике.,We are talking about politics.  
Он сидит на стуле.,He is sitting on the chair.  
В этом ресторане вкусная еда., This restaurant has delicious food.  
Она читает в библиотеке., She is reading in the library.  
Мы остановились на вокзале., We stopped at the station.  
Я думаю о своих друзьях., I am thinking about my friends.  
Они работают на заводе., They work at the factory.  
Мы жили в этой гостинице., We stayed at this hotel.  
