Мы идём с другом. ,– We are going with a friend.  
Она гордится своим успехом. ,– She is proud of her success.  
Мы путешествовали по реке., – We traveled along the river.  
Он работает инженером. ,– He works as an engineer.  
Они разговариваютс учителем. ,– They are talking with the teacher. 
Стол покрыт скатертью. , The table is covered with a tablecloth.  
Мы пошли в парк с семьёй. , We went to the park with the family.  
Она рисует красками., She is painting with paints.  
Дом освещён лампой., – The house is lit by a lamp.  
Он занимается спортом., He is engaged in sports.  
Дорога была покрыта снегом., – The road was covered with snow.  
Она шла с подругой., She was walking with a friend (female).  
Мы довольны результатами., We are satisfied with the results.  
Он разговаривал с врачом.,– He talked with the doctor.  
Я пишу письмо ручкой.,– I am writing a letter with a pen.  
