1. **Non capisco.**, – I don’t understand.  
2. **Può ripetere per favore?**, – Can you repeat please?  
3. **Parla più lentamente per favore.**, – Please speak more slowly.  
4. **Cosa significa...?**, – What does ... mean?  
5. **Come si dice ... in italiano?**, – How do you say ... in Italian?  
6. **Un tavolo per due per favore.**, – A table for two please.  
7. **Il conto per favore.**, – The check please.  
8. **C’è un piatto vegetariano?**, – Is there a vegetarian dish?  
9. **Posso avere dell’acqua?**, – Can I have some water?  
10. **Qual è la specialità della casa?**, – What’s the house specialty?  
11. **Quanto costa questo?**, – How much does this cost?  
12. **Posso provarlo/la?**, – Can I try it on?  
13. **Accettate carte di credito?**, – Do you accept credit cards?  
14. **Aiuto!**, – Help! 
15. **Chiamate un medico per favore.**, – Call a doctor please.  
