Гора покрыта снегом., The mountain is covered with snow.  
Озеро глубокое и чистое., The lake is deep and clean.  
Парк тихий и уютный., The park is quiet and cozy.  
Дети играют на площадке., The children are playing on the playground.  
Звёзды ярко светят ночью., The stars shine brightly at night.  
Праздник будет завтра., The celebration will be tomorrow.  
Учебник лежит на полке., The textbook is on the shelf.    
Город очень красивый весной., The city is very beautiful in spring.  
Картина висит на стене., The painting is hanging on the wall.  
Часы показывают правильное время., The clock shows the correct time.  
Лошадь пасётся в поле., The horse is grazing in the field.  
Студенты пишут тест., The students are writing a test.  
Зима – холодное время года., Winter is a cold season.  
Растения растут под солнцем., Plants grow under the sun.  
Мама готовит обед.,Mom is cooking lunch.  
