1. **Wie geht’s?**, – How are you?  
2. **Mir geht’s gut danke. Und dir/Ihnen?**, – I’m fine thanks. And you?  
3. **Alles klar.**, – All good/Alright.  
4. **Es tut mir leid.**, – I’m sorry.  
5. **Kein Problem.** ,– No problem.  
6. **Wo ist die Toilette?** ,– Where is the restroom?  
7. **Gehen Sie geradeaus.** ,– Go straight ahead.  
8. **Links/Rechts abbiegen.** ,– Turn left/right.  
9. **In der Nähe.** ,– Nearby.  
10. **Wie weit ist es?**, – How far is it?  
11. **Haben Sie das in einer anderen Größe?**, – Do you have this in another size?  
12. **Das ist zu teuer.**, – That’s too expensive.  
13. **Ich möchte das kaufen.** ,– I’d like to buy this.  
14. **Rufen Sie die Polizei!** ,– Call the police!  
15. **Ich brauche einen Arzt.** ,– I need a doctor.  
