1. **Vorrei del pane.**, (I would like some bread.),  
2. **C’è dello zucchero nella credenza.**, (There is some sugar in the cupboard.),  
3. **Ho comprato dei libri interessanti.**, (I bought some interesting books.),  
4. **Voglio delle mele.**, (I want some apples.),  
5. **Ci sono delle persone alla porta.**, (There are some people at the door.),  
6. **Prendiamo del vino rosso.**,(Let’s have some red wine.),  
7. **Hai bisogno di dell’acqua?**, (Do you need some water?),  
8. **Mangio del formaggio ogni giorno.**, (I eat some cheese every day.),  
9. **Ci sono dei fiori in giardino.**, (There are some flowers in the garden.),  
10. **Abbiamo dell’olio d’oliva in cucina.**, (We have some olive oil in the kitchen.),  
11. **Vuoi del latte?**, (Do you want some milk?)  
12. **Hai preparato della pasta per cena?**, (Did you prepare some pasta for dinner?),  
13. **Ho visto dei bambini giocare al parco.**, (I saw some children playing in the park.),  
14. **Vorrei delle fragole per dessert.**, (I’d like some strawberries for dessert.),  
15. **Hanno portato dell’acqua frizzante.**,(They brought some sparkling water.).  
