1. **Avete un tavolo per due?**, – Do you have a table for two?  
2. **Vorremmo un tavolo all’interno/all’aperto.**, – We would like a table inside/outside.  
3. **C’è un menù in inglese?**, – Is there a menu in English?  
4. **Posso vedere il menù per favore?** ,– Can I see the menu please?  
5. **Qual è la specialità della casa?**, – What is the house specialty?  
6. **Vorrei ordinare per favore.**, – I’d like to order please.  
7. **Prendo...**, – I’ll have...  
8. **Che cosa consiglia?**, – What do you recommend?  
9. **C’è un piatto vegetariano/vegano?**, – Is there a vegetarian/vegan dish?  
10. **Posso avere dell’acqua naturale/frizzante?**, – Can I have still/sparkling water?  
11. **Manca una forchetta/un coltello/un cucchiaio.**,– A fork/knife/spoon is missing.  
12. **Questo è delizioso!**, – This is delicious!  
13. **Può portarmi un po’ di pane per favore?**, – Can you bring me some bread please?  
14. **Il conto per favore.**, – The check please.  
15. **Posso pagare con la carta di credito?**, – Can I pay with a credit card?  
